batch,url,page_type,priority,copy,chars,Flag
Batch 2,https://www.thegoodguys.com.au/braun/small-kitchen-appliances/mixers-and-food-processors,B2,98,"Save time with Braun mixers and food processors from The Good Guys, designed for fast prep, precise blending, and smooth purees. Discover powerful MultiQuick stick mixers with variable speeds, ergonomic handles, and versatile.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/audio-technica/audio/home-audio/turntables,B3,96,"Rediscover every record with Audio Technica turntables delivering clear sound, stable tracking, and convenient Bluetooth connectivity. Explore fully automatic and portable options at The Good Guys for smooth setup, wireless streaming,.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bissell/vacuums-and-cleaners/vacuum-and-cleaning-accessories,B2,95,"BISSELL vacuum accessories include CrossWave formula solutions, Deep Clean Pro detergents and replacement brush rolls for BISSELL vacuums and cleaners. Find BISSELL accessories at The Good Guys for brushes, filters, tanks and cleaning formulas.",244,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/smeg/cooking-and-dishwashers/cooktops/induction-cooktops,B3,94,"Stay in control with Smeg Induction Cooktops offering fast heat response, precise temperature settings and easy-clean glass surfaces. Discover flexible zone layouts and elegant finishes at The Good Guys to upgrade everyday cooking.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/monitors,B2,93,"Boost productivity with Lenovo computer monitors offering sharp resolution, smooth refresh rates, and ergonomic adjustment for work or gaming. Explore The Good Guys range of FHD and QHD Lenovo screens to enhance clarity, multitasking,.",235,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/toasters-and-kettles/4-slice-toasters,B3,91,"Start your day smoothly with Smeg 4-Slice Toasters offering wide slots, browning control, and dual toasting zones for family breakfasts. Explore colours and 50s Style designs at The Good Guys for quick, even toasting that fits.",227,clone:first5_words_x4 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/black-and-decker/vacuums-and-cleaners/vacuum-cleaners/handheld-vacuums,B3,90,"Tackle quick clean-ups with BLACK & DECKER handheld vacuums from The Good Guys, designed for cordless convenience and strong suction. Remove crumbs, pet hair and spills fast with compact Dustbuster models, long-lasting batteries.",229,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/eufy/smart-home/connected-home/smart-lighting,B3,89,"Stay connected with Eufy smart lighting from The Good Guys, offering app control, custom schedules, and voice assistant compatibility. Brighten outdoor spaces with flexible strip lights in multiple lengths for tailored ambience.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/shark/vacuums-and-cleaners/carpet-cleaners-and-steam-mops/steam-mops,B3,89,"Clean hard floors with Shark steam mops from The Good Guys, using heated power to cut through grime and reduce chemical cleaners. Save time with swivel heads, multiple steam settings, and lightweight designs suited to everyday household cleaning.",246,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bose/audio/portable-audio/portable-bluetooth-speakers,B3,89,"Take your music anywhere with Bose portable Bluetooth speakers from The Good Guys, offering clear audio, rugged designs, and long-lasting battery life. Stay connected with wireless streaming, compact sizes, and smart controls ideal.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/instax/digital-cameras/cameras,B2,89,"Capture every moment with Instax Cameras from The Good Guys, combining instant prints, creative shooting modes, and compact designs. Stay spontaneous with easy-to-use film cameras that deliver quick snapshots, vibrant colours, and fun.",235,clone:first5_words_x2
Batch 2,https://www.thegoodguys.com.au/shark/vacuums-and-cleaners/vacuum-cleaners/handheld-vacuums,B3,87,"Keep surfaces spotless with Shark handheld vacuums offering focused suction, cordless convenience and quick clean-ups in tight spaces. Explore compact, bagless designs at The Good Guys for light debris, car interiors and everyday.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/spacetalk/phones-and-wearables/wearables/smart-watches,B3,86,"Keep kids connected and reassured with Spacetalk smart watches from The Good Guys, offering 4G calling, GPS location, and school-friendly modes. Track activity, manage contacts, and set safe zones to support independence while.",227,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/mixers-and-food-processors,B2,85,"Create smooth sauces, batters and blends with Smeg mixers and food processors delivering powerful motors, variable speeds and generous capacities. Discover colourful 50’s Style hand mixers, blenders and stand mixers at The Good Guys.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kindle/computers-tablets-and-gaming/ipad-and-tablets/ereaders-and-accessories,B3,82,"Read more anywhere with Kindle eReaders & Accessories from The Good Guys, combining crisp displays, long battery life, and lightweight designs. Streamline your library with versatile covers and storage options that keep your favourite.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/sunbeam/heating-and-cooling/heaters/electric-blankets,B3,81,"Stay warm with Sunbeam electric blankets from The Good Guys, offering adjustable heat settings, antibacterial fabrics and fitted or throw options for cosy nights. Save energy while customising comfort across sizes and styles suited.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/husqvarna/smart-home/automatic-lawn-mowers/robot-lawn-mowers,B3,80,"Stay on top of lawn care with Husqvarna robot lawn mowers from The Good Guys, offering automatic cutting, app control and quiet operation. Save time with smart navigation, adjustable cutting heights and convenient maintenance kits.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/cooking-and-dishwashers/dishwashers,B2,79,"Save time with Hisense dishwashers from The Good Guys, offering spacious place settings, efficient wash programs, and smart energy and water ratings. Stay organised with freestanding designs in modern finishes that handle daily loads.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/solt/laundry/dryers,B2,76,"Protect your clothing with Solt dryers that offer gentle fabric care, precise drying options, and efficient performance. Discover heat pump and vented models at The Good Guys designed to handle everyday loads while helping reduce.",230,clone:first5_words_x4 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/google/smart-home,B1,76,"Stay secure with Google Smart Home solutions from The Good Guys, combining Google Nest Cams and video doorbells for clear monitoring, smart alerts and easy app control. Protect entrances and key areas with wire-free setups,.",224,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/weber/bbqs-and-outdoor-cooking/bbq-accessories/bbq-tools,B3,75,"Upgrade outdoor cooking with Weber BBQ Tools from The Good Guys, delivering precise grilling, easy cleaning, and durable materials. Select from brushes, hotplates, pizza stones and thermometers to refine heat control, protect your BBQ.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/vornado/heating-and-cooling/coolers/tower-floor-and-pedestal-fans,B3,75,"Stay cool with Vornado tower, floor and pedestal fans from The Good Guys, delivering focused air circulation for bedrooms, lounges and workspaces. Save energy and tailor airflow with variable speed settings and compact designs suited.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/laura-ashley/small-kitchen-appliances/toasters-and-kettles,B2,74,"Add a touch of pattern with Laura Ashley toasters and kettles offering fast boiling, multiple browning settings, and generous capacity. Discover patterned 2 and 4 slice toasters and 1.7L electric kettles at The Good Guys.",221,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/delonghi/heating-and-cooling/coolers/tower-floor-and-pedestal-fans,B3,74,"Stay cool with DeLonghi tower, floor and pedestal fans from The Good Guys, offering wide oscillation, adjustable height and multiple speed settings. Save time with easy remote controls and timers that help customise airflow.",224,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/epson/computers-tablets-and-gaming/printers-paper-and-ink,B2,74,"Stay productive with Epson printers and ink delivering sharp documents, vivid photos, and efficient home office performance. Discover inkjet printers, EcoTank models, and long-lasting cartridges at The Good Guys for consistent output.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/desktop-and-laptop/2in1-laptops,B3,73,"Boost productivity with Lenovo 2-in-1 laptops offering touch screens, flexible modes, and fast processors for work, study, and streaming. Discover long battery life and ample SSD storage at The Good Guys for portable, versatile computing.",238,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/technika/cooking-and-dishwashers/rangehoods,B2,72,"Clear the air efficiently with Technika rangehoods offering strong extraction, multi-speed settings, and sleek canopy, slide-out or undermount designs. Find ventilation solutions from The Good Guys to reduce smoke, odours and steam.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/desktop-and-laptop/chromebook,B3,71,"Stay productive with Lenovo Chromebooks from The Good Guys, combining fast start-up, built-in virus protection, and long battery life. Access cloud-based apps, responsive touchscreens, and lightweight designs ideal for study,.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/miele/laundry/dryers/heat-pump-dryers,B3,70,"Protect your clothing with Miele heat pump dryers from The Good Guys, offering gentle drum care, low-temperature drying, and strong energy ratings. Save time with smart sensor programs and generous 7kg–9kg capacities suited.",224,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/nespresso/small-kitchen-appliances/coffee-machines-and-beverages,B2,70,"Stay energised with Nespresso coffee machines delivering barista-style espresso, cappuccino and latte at home. Discover compact capsule models, milk frothers and powerful extraction systems from The Good Guys for fast, consistent.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/jbl/audio/headphones,B2,70,"Stay immersed with JBL Headphones from The Good Guys, delivering bold sound, active noise cancelling, and wireless freedom for music, calls, and gaming. Find in-ear, on-ear, and over-ear options that balance comfort, long battery.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/russell-hobbs/small-kitchen-appliances/benchtop-cooking/air-fryers,B3,69,"Save time with Russell Hobbs air fryers that deliver fast, crispy results with less oil and rapid hot air circulation for healthier meals. Explore extra-large capacities and simple controls at The Good Guys for convenient benchtop cooking.",239,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/dell/computers-tablets-and-gaming/desktop-and-laptop/2in1-laptops,B3,68,"Stay productive with Dell 2-in-1 laptops from The Good Guys, offering responsive touchscreens, flexible tablet-to-laptop use, and powerful processors for everyday tasks. Switch modes easily for study, work, or streaming with fast.",230,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bosch/cooking-and-dishwashers/rangehoods,B2,67,"Breathe easier in a cleaner kitchen with Bosch rangehoods offering strong extraction, quieter operation, and efficient lighting. Explore canopy, slideout, undermount and downdraft options at The Good Guys to match your cooktop size.",232,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/bosch/cooking-and-dishwashers/microwaves,B2,66,"Speed up weeknight cooking with Bosch Microwaves from The Good Guys, offering built-in designs, combination cooking and steam options. Save space while accessing precise power levels, intuitive controls and integrated cooking modes.",232,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hoover/vacuums-and-cleaners/vacuum-cleaners/stick-vacuums,B3,66,"Save time with Hoover stick vacuums from The Good Guys, combining cordless convenience, strong suction and lightweight handling for everyday cleaning. Tackle carpets, hard floors and pet hair with bagless designs, ONEPWR batteries.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ecovacs/vacuums-and-cleaners/vacuum-cleaners/robot-vacuums,B3,33,"Save time with Ecovacs robot vacuums that map rooms, boost suction on carpets, and handle multi-surface cleaning while you relax. Discover smart navigation, auto-empty docks, and app control from The Good Guys for a consistently cleaner home.",242,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/cooking-and-dishwashers/microwaves/microwave-ovens,B3,66,"Save time with Westinghouse Microwave Ovens that deliver powerful cooking, defrosting, and reheating for everyday meals. Find versatile capacities, inverter and convection options, and sleek finishes at The Good Guys to match.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/sunbeam/laundry/ironing/ironing-boards-and-accessories,B3,66,"Streamline laundry days with Sunbeam ironing boards and accessories from The Good Guys, designed for stable support and smooth pressing. Stay efficient with adjustable heights, durable covers, and handy care tools that help maintain.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/breville/small-kitchen-appliances/toasters-and-kettles/2-slice-toasters,B3,65,"Protect your breakfast routine with Breville 2-Slice Toasters from The Good Guys, offering precise browning control, multiple bread settings, and quick heating. Discover compact designs, durable finishes, and smart toasting functions.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/televisions/all-tvs/tvs-43-inch-and-below,B3,65,"Upgrade movie nights with Hisense 43 Inch & Below TVs from The Good Guys, combining vivid QLED and LED panels, smart streaming, and energy-efficient performance. Stay entertained in smaller spaces with sharp HD to 4K resolution.",228,clone:first5_words_x3
Batch 2,https://www.thegoodguys.com.au/dell/computers-tablets-and-gaming/software-and-accessories/computer-bags,B3,65,"Protect your tech on the go with Dell laptop and computer bags offering padded compartments, organised storage, and lightweight designs. Find sleeves, backpacks, and briefcases at The Good Guys to help safeguard devices.",220,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/apple/audio/headphones/wired-headphones,B3,64,"Stay connected with Apple Wired Headphones from The Good Guys, delivering clear audio and convenient in-line controls for calls and music. Save time with simple plug-and-play options including USB-C, Lightning and 3.5mm connections.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/mixers-and-food-processors/blenders,B3,63,"Create silky smoothies and sauces with Smeg blenders from The Good Guys, combining powerful motors and generous jug capacity. Achieve consistent results, variable speeds and retro style to streamline prep for drinks, soups and everyday recipes.",244,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/panasonic/phones-and-wearables/home-phones-and-walkie-talkies/cordless-and-corded-phones,B3,61,"Stay connected with Panasonic landline and home phones from The Good Guys, offering clear sound, caller ID and easy-to-read displays. Choose single, twin, triple or quad cordless sets to streamline communication around the home.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/shark/vacuums-and-cleaners/vacuum-cleaners/upright-vacuums,B3,60,"Keep floors cleaner with Shark Upright Vacuums offering deep carpet pickup, strong suction, and self-cleaning brushrolls. Explore bagless models at The Good Guys designed for pet hair, hard floors, and edge-to-edge cleaning in medium to large homes.",249,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/cygnett/phones-and-wearables/phone-accessories/power-banks,B3,60,"Stay powered on the go with Cygnett power banks, offering fast charging, magnetic options and high-capacity batteries to keep devices ready all day. Discover compact designs and multiple outputs at The Good Guys for efficient backup.",233,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/tcl/audio/home-audio/sound-bars,B3,58,"Boost every movie night with TCL sound bars from The Good Guys, offering powerful multi-channel audio, Dolby Atmos, and wireless subwoofers. Stay immersed with room-filling sound, simple setup, and compact designs that elevate TV, gaming, and music.",249,clone:first5_words_x2
Batch 2,https://www.thegoodguys.com.au/nintendo/gaming,B1,58,"Level up family gaming with Nintendo Gaming consoles and accessories offering hybrid or portable play, vibrant controllers, and expandable storage. Explore Nintendo Switch and Switch 2 options at The Good Guys for flexible setups that.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/technika/cooking-and-dishwashers/cooktops,B2,58,"Upgrade your kitchen with Technika Cooktops from The Good Guys, combining precise heat control and easy-clean surfaces. Cook efficiently with gas, ceramic or induction options in 60cm and 90cm sizes to suit everyday meals and larger entertaining.",246,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/westinghouse/heating-and-cooling/air-conditioners,B2,57,"Stay comfortable with Westinghouse air conditioners offering reverse cycle climate control, cooling-only options, and adjustable capacities for different room sizes. Find efficient split systems and box units at The Good Guys to help.",234,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/apple/computers-tablets-and-gaming/software-and-accessories/computer-accessories,B3,57,"Boost productivity with Apple computer accessories from The Good Guys, including Magic Keyboard, Magic Mouse, and Magic Trackpad for precise control and typing. Connect and power devices efficiently with Apple cables, adapters,.",228,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/artusi/cooking-and-dishwashers/ovens,B2,56,"Cook with confidence using ARTUSI ovens from The Good Guys, offering even heat, precise controls and self-cleaning options. Save time with upright and built-in models designed for efficient baking, roasting and grilling in modern kitchens.",239,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/miele/vacuums-and-cleaners/vacuum-and-cleaning-accessories,B2,56,"Protect your cleaning performance with Miele vacuum and cleaning accessories offering efficient dust bags, HEPA filters and specialised brush heads. Explore options at The Good Guys to maintain strong suction, reduce allergens.",227,clone:first5_words_x3
Batch 2,https://www.thegoodguys.com.au/qpix/digital-cameras/camera-accessories/digital-photo-frames,B3,56,"Showcase memories with Qpix digital photo frames from The Good Guys, offering vibrant IPS displays and generous 32GB storage. Stay connected with Wi-Fi options, remote control access, and versatile display modes for simple, dynamic.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/tp-link/smart-home/connected-home/smart-plugs-and-sensors,B3,56,"Streamline your smart home with TP-LINK smart plugs and sensors from The Good Guys, offering app control, scheduling, and energy monitoring. Automate lights, appliances, and security with Wi-Fi plugs, motion sensors, hubs, and leak.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/apple/computers-tablets-and-gaming/monitors/computer-monitors,B3,56,"Stay productive with Apple computer monitors and screens from The Good Guys, delivering sharp 5K resolution and streamlined connectivity. Protect your workflow with Studio Displays that pair large 27-inch panels, vivid colour.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/uniden/phones-and-wearables/gps/walkie-talkies,B3,56,"Stay connected with Uniden Walkie Talkies from The Good Guys, offering long-range UHF coverage, clear audio and Kid Zone settings for family use. Save time with USB-C charging, multiple pack options and splashproof models for camping,.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bose/audio/headphones/true-wireless-earbuds,B3,56,"Experience clear calls and balanced sound with Bose true wireless earbuds, built for everyday listening and travel. Stay connected longer with secure fit designs, active noise cancellation, and portable charging cases from The Good Guys.",237,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lenovo/computers-tablets-and-gaming/desktop-and-laptop/gaming-laptops,B3,55,"Power up gameplay with Lenovo Gaming Laptops from The Good Guys, combining fast Intel processors, RTX graphics and high-refresh displays. Tackle AAA titles, streaming and multitasking smoothly with generous RAM and SSD storage in portable designs.",247,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/apple/computers-tablets-and-gaming/ipad-and-tablets/ipad-accessories,B3,54,"Boost productivity with Apple iPad cases and accessories offering responsive Apple Pencil control, precise keyboards, and seamless adapters. Discover options at The Good Guys that enhance workflow, protect your device, and support.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/audio/home-audio/sound-bars,B3,54,"Upgrade movie nights with Hisense Sound Bars from The Good Guys, delivering powerful channels, Dolby Atmos and deep bass for immersive home audio. Stay immersed in crisp dialogue and cinematic sound while maximising value and simple.",233,clone:first5_words_x3
Batch 2,https://www.thegoodguys.com.au/asko/cooking-and-dishwashers/cooktops/induction-cooktops,B3,52,"Save time with ASKO induction cooktops offering fast, precise heat, flexible zones and easy-clean glass surfaces. Discover smart temperature control across compact to wide formats at The Good Guys for efficient, streamlined cooking.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/nutribullet/small-kitchen-appliances/mixers-and-food-processors,B2,52,"Power through smoothies, sauces, and prep with NUTRIBULLET mixers and food processors offering strong wattage, generous capacities, and portable options. Discover versatile blades and compact designs at The Good Guys to help.",225,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/uniden/phones-and-wearables/gps/dash-cams,B3,51,"Stay safer on the road with Uniden Dash Cams from The Good Guys, capturing crisp incident footage with 4K to 5K resolution and smart connectivity. Save time with easy installation, parking monitoring, and wide-angle coverage.",225,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/oliveri/cooking-and-dishwashers/sinks-and-taps,B2,51,"Upgrade your kitchen with Oliveri sinks and taps from The Good Guys, offering durable materials, generous bowl capacity, and efficient water-saving tapware. Streamline food prep and cleaning with smart layouts, pull-out sprays,.",228,clone:first5_words_x3 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/dji/digital-cameras/cameras/action-cameras,B3,51,"Capture every angle with DJI action cameras from The Good Guys, offering crisp 4K video, stabilised footage, and waterproof builds. Stay ready for any adventure with compact designs, long battery life, and smart shooting modes for fast sharing.",244,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/omega/cooking-and-dishwashers/rangehoods,B2,50,"Clear the air with Omega rangehoods from The Good Guys, combining strong extraction, multiple speeds and modern finishes for efficient kitchen ventilation. Save time with easy-to-clean filters and streamlined designs that integrate.",232,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lavazza/small-kitchen-appliances/coffee-machines-and-beverages/coffee-pods-and-capsules,B3,50,"Start your day right with Lavazza Coffee Pods & Capsules from The Good Guys, offering rich blends and barista-style crema at home. Save time with compatible capsules and fresh beans tailored for smooth espressos, lungos, and everyday coffee moments.",249,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/uniden/smart-home/home-security/baby-monitors,B3,50,"Stay connected with Uniden baby monitors from The Good Guys, offering clear video, motion alerts and two-way audio. Gain peace of mind with options like 2K resolution, pan and tilt control, app access and large colour displays.",227,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/lg/computers-tablets-and-gaming/monitors/computer-monitors,B3,50,"Boost productivity with LG computer monitors delivering sharp resolution, fast refresh rates, and responsive performance for work or gaming. Explore versatile screen sizes, IPS clarity, and USB-C connectivity at The Good Guys.",226,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/bosch/vacuums-and-cleaners/vacuum-and-cleaning-accessories/vacuum-cleaner-bags,B3,49,"Keep floors spotless with Bosch vacuum bags from The Good Guys, designed for strong suction and hygienic dust collection. Maintain performance with durable dustbags that support efficient cleaning and easy replacement for compatible Bosch vacuums.",247,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/kenwood/small-kitchen-appliances/mixers-and-food-processors/hand-mixers,B3,49,"Whip, blend and beat ingredients with Kenwood Hand Mixers from The Good Guys, offering multiple speed settings and ergonomic control for precise results. Save time with compact designs, powerful motors and easy-clean parts ideal.",229,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/tp-link/computers-tablets-and-gaming/networking/powerline-and-wifi-extenders,B3,49,"Boost coverage with TP-Link WiFi Range Extenders from The Good Guys, designed to reduce dead zones and stabilise streaming, gaming, and remote work. Stay connected with dual-band, Wi-Fi 6 and Wi-Fi 7 options, plus powerline kits.",229,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ninja/small-kitchen-appliances/specialty-appliances/kitchen-appliance-accessories,B3,49,"Upgrade dessert prep with Ninja kitchen appliance accessories from The Good Guys, adding extra tubs and lids for the Ninja CREAMi range. Save time with spare containers ready to freeze, mix and serve custom ice cream, sorbet.",225,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/linden/televisions,B1,49,"Mount your TV securely with LINDEN wall brackets from The Good Guys, designed for tilt, fixed, and full-motion setups. Save space, optimise viewing angles, and support a wide range of screen sizes with durable, easy-to-install mounting solutions.",246,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/samsung/computers-tablets-and-gaming/ipad-and-tablets/tablets-accessories,B3,49,"Protect your Samsung tablet with slim covers, keyboard cases and anti-glare screen guards that help reduce scratches, boost productivity and keep ports accessible. Explore tailored Samsung tablet accessories at The Good Guys for work,.",235,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/smeg/small-kitchen-appliances/toasters-and-kettles/2-slice-toasters,B3,49,"Get crisp golden toast with Smeg 2-Slice Toasters from The Good Guys, offering precise browning control, wide slots and consistent toasting. Add retro style, multiple browning settings and easy cleaning to your kitchen benchtop.",228,fixed:2026-03-19
Batch 2,https://www.thegoodguys.com.au/audio-technica/audio/home-audio,B2,49,"Stay immersed in rich, detailed sound with Audio Technica home audio from The Good Guys, including Bluetooth turntables, portable players and powered bookshelf speakers. Upgrade your setup with precise stylus options and automatic.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/fisher-and-paykel/cooking-and-dishwashers/microwaves,B2,48,"Save time with Fisher & Paykel microwaves that deliver fast, even heating, convection cooking and combi-steam options for precise results. Discover built-in models at The Good Guys with multiple power levels, smart presets.",223,clone:first5_words_x3
Batch 2,https://www.thegoodguys.com.au/weber/bbqs-and-outdoor-cooking/bbqs/gas-bbqs,B3,48,"Fire up effortless outdoor cooking with Weber Gas BBQs from The Good Guys, offering powerful burners, even heat distribution and precise temperature control. Stay ready for weeknight dinners or weekend gatherings with durable grills.",233,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/breville/small-kitchen-appliances/coffee-machines-and-beverages/manual-coffee-machines,B3,47,"Brew café-style shots at home with Breville manual coffee machines from The Good Guys, combining precise temperature control, powerful steam wands, and fast heat-up times. Create rich espresso and silky microfoam for barista-level.",231,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/mercator/heating-and-cooling/coolers/ceiling-fans,B3,47,"Stay cool with Mercator ceiling fans from The Good Guys, offering efficient airflow, quiet operation, and modern control options. Explore sizes, blade materials, and integrated lighting to match your room and enhance comfort all year round.",240,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/philips/small-kitchen-appliances/toasters-and-kettles,B2,46,"Stay comfortable with Philips toasters and kettles that deliver fast boiling, precise temperature control and easy cleaning. Explore energy-efficient options at The Good Guys to simplify breakfasts and hot drinks with practical.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/irobot/vacuums-and-cleaners/vacuum-cleaners/robot-vacuums,B3,45,"Stay on top of dust and pet hair with iRobot robot vacuums that combine powerful suction, smart mapping, and app control. Discover Roomba models at The Good Guys with auto empty docks and mop functions to streamline daily floor cleaning.",237,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/ecovacs/vacuums-and-cleaners/vacuum-and-cleaning-accessories/vacuum-cleaner-bags,B3,45,"Maintain strong suction and cleaner floors with Ecovacs vacuum cleaner bags from The Good Guys, designed to capture fine dust and allergens. Save time with easy-fit, antibacterial dust bags that support long-term performance.",225,clone:first5_words_x2 | entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/weber/bbqs-and-outdoor-cooking/bbq-accessories/bbq-cleaning,B3,44,"Keep your barbecue in top condition with Weber BBQ cleaning tools from The Good Guys, designed to remove grease, protect cooking surfaces and extend grill life. Maintain even heat and better searing with purpose-built cleaners,.",228,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/braun/laundry/ironing/steam-stations-and-garment-steamers,B3,44,"Smooth out creases fast with Braun Steam Stations & Garment Steamers from The Good Guys, combining powerful steam output and precise temperature control. Save time on laundry days while refreshing delicate fabrics, workwear.",224,entity:no_named_tech_in_S1
Batch 2,https://www.thegoodguys.com.au/hisense/laundry/dryers/heat-pump-dryers,B3,44,"Protect your clothing with Hisense heat pump dryers offering gentle drying, precise sensors and efficient performance. Discover spacious 8kg–10kg capacities and multiple programs at The Good Guys to handle varied loads while helping.",233,entity:no_named_tech_in_S1
